"document","word","n"
211,"former",1
212,"caretaker",1
213,"government",1
214,"advisor",1
215,"executive",1
216,"director",1
217,"campe",1
218,"rasheda",1
219,"k",1
220,"choudhury",1
221,"say",1
222,"need",1
223,"review",1
224,"system",1
225,"detail",1
226,"academic",1
227,"discussion",1
228,"will",1
229,"amount",1
230,"nothing",1
231,"exist",1
232,"reality",1
233,"grind",1
234,"sidestep",1
235,"research",1
236,"require",1
237,"understand",1
238,"reality",1
239,"people",1
240,"s",1
241,"voice",1
242,"must",1
243,"hear",1
244,"bangladesh",1
245,"institute",1
246,"development",1
247,"research",1
248,"bid",1
249,"binayak",1
250,"sen",1
251,"say",1
252,"manage",1
253,"come",1
254,"certain",1
255,"level",1
256,"low",1
257,"level",1
258,"education",1
259,"discrepancy",1
260,"till",1
261,"year",1
262,"need",1
263,"radical",1
264,"change",1
265,"come",1
266,"year",1
267,"sector",1
268,"society",1
269,"veteran",1
270,"educationist",1
271,"member",1
272,"national",1
273,"education",1
274,"policy",1
275,"formulation",1
276,"committee",1
277,"quazi",1
278,"faruque",1
279,"ahmed",1
280,"say",1
281,"nationalisation",1
282,"education",1
283,"system",1
284,"government",1
285,"isation",1
286,"say",1
287,"call",1
288,"nationalisation",1
289,"autonomy",1
290,"teacher",1
291,"right",1
292,"express",1
293,"freely",1
294,"bid",1
295,"researcher",1
296,"zulfiqar",1
297,"ali",1
298,"say",1
299,"education",1
300,"go",1
301,"sort",1
302,"experimentation",1
303,"exist",1
304,"one",1
305,"method",1
306,"education",1
307,"creative",1
308,"method",1
309,"come",1
310,"along",1
311,"now",1
312,"say",1
313,"creative",1
314,"method",1
315,"isn",1
316,"t",1
317,"work",1
318,"new",1
319,"curriculum",1
320,"introduce",1
321,"ssc",1
322,"hsc",1
323,"public",1
324,"exam",1
325,"public",1
326,"exam",1
327,"introduce",1
328,"class",1
329,"five",1
330,"class",1
331,"eight",1
332,"now",1
333,"say",1
334,"right",1
335,"need",1
336,"intensive",1
337,"review",1
338,"education",1
339,"system",1
340,"bid",1
341,"researcher",1
342,"siban",1
343,"shahana",1
344,"take",1
345,"part",1
346,"discussion",1
347,"book",1
348,"say",1
349,"around",1
350,"per",1
351,"cent",1
352,"youth",1
353,"come",1
354,"forward",1
355,"high",1
356,"education",1
357,"complete",1
358,"high",1
359,"education",1
360,"around",1
361,"per",1
362,"cent",1
363,"find",1
364,"job",1
365,"study",1
366,"put",1
367,"figure",1
368,"per",1
369,"cent",1
370,"human",1
371,"right",1
372,"activist",1
373,"sheepa",1
374,"hafiza",1
375,"say",1
376,"gender",1
377,"equality",1
378,"responsibility",1
379,"issue",1
380,"include",1
381,"properly",1
382,"education",1
383,"school",1
384,"teach",1
385,"basic",1
386,"right",1
387,"wrong",1
388,"youth",1
389,"learn",1
390,"speak",1
391,"wrongdoing",1
392,"institute",1
393,"informatics",1
394,"development",1
395,"iid",1
396,"founder",1
397,"syeed",1
398,"ahamed",1
399,"say",1
400,"book",1
401,"discussion",1
402,"several",1
403,"guideline",1
404,"tackle",1
405,"challenge",1
406,"ahead",1
407,"brac",1
408,"university",1
409,"teacher",1
410,"manjuma",1
411,"akhter",1
412,"say",1
413,"book",1
414,"significant",1
415,"record",1
416,"growth",1
417,"education",1
418,"country",1
419,"past",1
420,"year",1
421,"introductory",1
422,"speech",1
423,"prothom",1
424,"alo",1
425,"editor",1
426,"matiur",1
427,"rahman",1
428,"say",1
429,"prothom",1
430,"prokashi",1
431,"bring",1
432,"book",1
433,"various",1
434,"subject",1
435,"independence",1
436,"bangladesh",1
437,"book",1
438,"health",1
439,"economy",1
440,"disaster",1
441,"management",1
442,"book",1
443,"part",1
444,"continuity",1
445,"extremely",1
446,"important",1
447,"book",1
448,"conduct",1
449,"coordinator",1
450,"prothoma",1
451,"prokashon",1
452,"javed",1
453,"hussain",1
454,"event",1
455,"also",1
456,"address",1
457,"east",1
458,"west",1
459,"university",1
460,"s",1
461,"treasurer",1
462,"ishfaq",1
463,"ilahi",1
464,"choudhury",1
465,"british",1
466,"high",1
467,"commission",1
468,"official",1
469,"golam",1
470,"kibria",1
471,"advisor",1
472,"ngo",1
473,"aspbae",1
474,"be",1
475,"enamul",1
476,"huq",1
477,"teacher",1
478,"ranajit",1
479,"poddar",1
480,"brac",1
481,"official",1
482,"dilruba",1
483,"sultana",1
484,"pose",1
485,"various",1
486,"question",1
487,"writer",1
488,"professor",1
489,"manzoor",1
490,"ahmed",1
491,"reply",1
492,"question",1
493,"comment",1
494,"suggest",1
495,"prothom",1
496,"alo",1
497,"hold",1
498,"series",1
499,"roundtable",1
500,"various",1
501,"sub",1
502,"sector",1
503,"education",1
504,"prothoma",1
505,"prokashon",1
506,"s",1
507,"coordinator",1
508,"marina",1
509,"yeasmin",1
510,"deliver",1
511,"close",1
512,"address",1
